location,total_sqft,bed,bath,price,price_per_sqft
 Devarachikkanahalli,1250.0,3.0,2.0,44.0,3520.0
 Devarachikkanahalli,1250.0,2.0,2.0,40.0,3200.0
 Devarachikkanahalli,1200.0,2.0,2.0,83.0,6916.666666666667
 Devarachikkanahalli,1170.0,2.0,2.0,40.0,3418.803418803419
 Devarachikkanahalli,1425.0,3.0,2.0,65.0,4561.403508771929
 Devarachikkanahalli,947.0,2.0,2.0,43.0,4540.654699049631
 Devarachikkanahalli,1130.0,2.0,2.0,36.0,3185.8407079646017
 Devarachikkanahalli,1417.0,3.0,2.0,76.0,5363.443895553987
 Devarachikkanahalli,1230.0,2.0,2.0,58.0,4715.447154471544
 Devarachikkanahalli,1705.0,3.0,3.0,75.0,4398.826979472141
 Devarachikkanahalli,1116.0,2.0,2.0,47.0,4211.469534050179
 Devarachikkanahalli,991.0,2.0,2.0,40.0,4036.326942482341
 Devarachikkanahalli,1700.0,3.0,3.0,71.0,4176.470588235294
1st Block Jayanagar,2850.0,4.0,4.0,428.0,15017.543859649122
1st Block Jayanagar,1630.0,3.0,3.0,194.0,11901.840490797545
1st Block Jayanagar,1875.0,3.0,2.0,235.0,12533.333333333334
1st Block Jayanagar,1200.0,3.0,2.0,130.0,10833.333333333334
1st Block Jayanagar,1235.0,2.0,2.0,148.0,11983.805668016194
1st Block Jayanagar,2750.0,4.0,4.0,413.0,15018.181818181818
1st Block Jayanagar,2450.0,4.0,4.0,368.0,15020.408163265307
1st Phase JP Nagar,2825.0,4.0,4.0,250.0,8849.557522123894
1st Phase JP Nagar,1875.0,3.0,3.0,167.0,8906.666666666666
1st Phase JP Nagar,1500.0,5.0,5.0,85.0,5666.666666666667
1st Phase JP Nagar,2065.0,3.0,4.0,210.0,10169.49152542373
1st Phase JP Nagar,2024.0,3.0,3.0,157.0,7756.916996047431
1st Phase JP Nagar,2059.0,3.0,3.0,225.0,10927.634774162214
1st Phase JP Nagar,1394.0,2.0,2.0,100.0,7173.601147776184
1st Phase JP Nagar,1077.0,2.0,2.0,93.0,8635.097493036212
1st Phase JP Nagar,1566.0,2.0,2.0,180.0,11494.252873563219
1st Phase JP Nagar,840.0,1.0,2.0,50.0,5952.380952380952
1st Phase JP Nagar,1590.0,3.0,3.0,131.0,8238.993710691824
1st Phase JP Nagar,2180.0,3.0,3.0,210.0,9633.02752293578
1st Phase JP Nagar,1180.0,2.0,2.0,88.5,7500.0
1st Phase JP Nagar,1200.0,2.0,2.0,86.0,7166.666666666667
1st Phase JP Nagar,1394.0,2.0,2.0,85.0,6097.5609756097565
1st Phase JP Nagar,2077.0,3.0,3.0,175.0,8425.613866153106
1st Phase JP Nagar,4550.0,4.0,2.0,240.0,5274.725274725275
1st Phase JP Nagar,1205.0,2.0,2.0,85.0,7053.941908713693
1st Phase JP Nagar,2615.0,4.0,5.0,222.0,8489.483747609942
1st Phase JP Nagar,900.0,2.0,2.0,75.0,8333.333333333334
2nd Phase Judicial Layout,1450.0,3.0,2.0,50.75,3500.0
2nd Phase Judicial Layout,1150.0,2.0,2.0,40.25,3500.0
2nd Phase Judicial Layout,1350.0,3.0,2.0,47.25,3500.0
2nd Phase Judicial Layout,1350.0,3.0,2.0,47.25,3500.0
2nd Phase Judicial Layout,900.0,2.0,2.0,41.0,4555.555555555556
2nd Phase Judicial Layout,1681.0,3.0,3.0,69.0,4104.699583581201
2nd Phase Judicial Layout,1350.0,3.0,2.0,47.25,3500.0
2nd Phase Judicial Layout,1150.0,2.0,2.0,40.25,3500.0
2nd Stage Nagarbhavi,1500.0,4.0,4.0,220.0,14666.666666666666
2nd Stage Nagarbhavi,3000.0,6.0,8.0,451.0,15033.333333333334
2nd Stage Nagarbhavi,2400.0,6.0,8.0,450.0,18750.0
2nd Stage Nagarbhavi,1350.0,4.0,4.0,200.0,14814.814814814816
2nd Stage Nagarbhavi,1200.0,4.0,4.0,225.0,18750.0
2nd Stage Nagarbhavi,1500.0,4.0,3.0,230.0,15333.333333333334
5th Block Hbr Layout,1206.0,2.0,2.0,56.0,4643.449419568822
5th Block Hbr Layout,1270.0,3.0,2.0,70.0,5511.811023622047
5th Block Hbr Layout,1312.0,2.0,2.0,69.0,5259.1463414634145
5th Block Hbr Layout,1100.0,2.0,2.0,48.0,4363.636363636364
5th Block Hbr Layout,3600.0,5.0,5.0,130.0,3611.1111111111113
5th Block Hbr Layout,5100.0,6.0,5.0,300.0,5882.35294117647
5th Phase JP Nagar,1075.0,2.0,2.0,60.0,5581.395348837209
5th Phase JP Nagar,1150.0,2.0,3.0,52.5,4565.217391304348
5th Phase JP Nagar,1256.0,2.0,2.0,62.8,5000.0
5th Phase JP Nagar,1207.0,2.0,2.0,63.0,5219.552609776305
5th Phase JP Nagar,1725.0,3.0,2.0,100.0,5797.101449275362
5th Phase JP Nagar,1440.0,2.0,2.0,60.0,4166.666666666667
5th Phase JP Nagar,1700.0,3.0,2.0,100.0,5882.35294117647
5th Phase JP Nagar,1485.0,3.0,2.0,67.0,4511.784511784512
5th Phase JP Nagar,2500.0,5.0,5.0,110.0,4400.0
5th Phase JP Nagar,600.0,1.0,1.0,30.0,5000.0
5th Phase JP Nagar,1390.0,2.0,2.0,65.0,4676.258992805755
5th Phase JP Nagar,1256.0,2.0,2.0,62.8,5000.0
5th Phase JP Nagar,1000.0,2.0,2.0,48.0,4800.0
5th Phase JP Nagar,1350.0,3.0,2.0,75.0,5555.555555555556
5th Phase JP Nagar,552.0,1.0,1.0,23.5,4257.246376811594
5th Phase JP Nagar,1200.0,2.0,2.0,51.0,4250.0
5th Phase JP Nagar,1240.0,3.0,3.0,60.0,4838.709677419355
5th Phase JP Nagar,1550.0,3.0,3.0,75.0,4838.709677419355
5th Phase JP Nagar,1485.0,3.0,2.0,66.0,4444.444444444444
5th Phase JP Nagar,1030.0,2.0,2.0,57.0,5533.980582524272
5th Phase JP Nagar,1200.0,2.0,2.0,68.0,5666.666666666667
5th Phase JP Nagar,1190.0,2.0,2.0,61.8,5193.27731092437
5th Phase JP Nagar,4000.0,5.0,5.0,170.0,4250.0
5th Phase JP Nagar,1080.0,2.0,2.0,53.0,4907.407407407408
5th Phase JP Nagar,1041.0,2.0,2.0,54.0,5187.319884726225
5th Phase JP Nagar,812.0,2.0,2.0,42.0,5172.413793103448
5th Phase JP Nagar,1010.0,2.0,2.0,57.0,5643.564356435643
5th Phase JP Nagar,1450.0,3.0,2.0,73.0,5034.482758620689
5th Phase JP Nagar,1075.0,2.0,2.0,60.0,5581.395348837209
6th Phase JP Nagar,1192.0,2.0,2.0,74.0,6208.053691275168
6th Phase JP Nagar,1180.0,2.0,2.0,80.0,6779.661016949152
6th Phase JP Nagar,3245.0,4.0,4.0,250.0,7704.160246533128
6th Phase JP Nagar,1645.0,3.0,3.0,100.0,6079.0273556231
6th Phase JP Nagar,1140.0,2.0,2.0,65.0,5701.754385964912
6th Phase JP Nagar,2040.0,3.0,3.0,200.0,9803.921568627451
6th Phase JP Nagar,1213.0,2.0,2.0,63.0,5193.734542456719
6th Phase JP Nagar,1216.0,2.0,2.0,60.0,4934.210526315789
6th Phase JP Nagar,1460.0,2.0,2.0,80.0,5479.45205479452
6th Phase JP Nagar,2003.0,3.0,3.0,200.0,9985.022466300548
6th Phase JP Nagar,1810.0,3.0,3.0,131.0,7237.5690607734805
6th Phase JP Nagar,1515.0,3.0,2.0,135.0,8910.89108910891
6th Phase JP Nagar,1192.0,2.0,2.0,75.0,6291.946308724832
6th Phase JP Nagar,1280.0,2.0,2.0,88.0,6875.0
7th Phase JP Nagar,1080.0,2.0,2.0,72.0,6666.666666666667
7th Phase JP Nagar,1270.0,2.0,2.0,93.0,7322.834645669292
7th Phase JP Nagar,1420.0,3.0,2.0,100.0,7042.2535211267605
7th Phase JP Nagar,1850.0,3.0,3.0,150.0,8108.108108108108
7th Phase JP Nagar,1245.0,2.0,2.0,94.0,7550.2008032128515
7th Phase JP Nagar,1175.0,2.0,2.0,82.0,6978.723404255319
7th Phase JP Nagar,1400.0,3.0,2.0,95.0,6785.714285714285
7th Phase JP Nagar,2225.0,3.0,3.0,160.0,7191.011235955056
7th Phase JP Nagar,1050.0,2.0,2.0,71.0,6761.9047619047615
7th Phase JP Nagar,1100.0,2.0,2.0,46.0,4181.818181818182
7th Phase JP Nagar,918.0,2.0,2.0,50.49,5500.0
7th Phase JP Nagar,1450.0,3.0,2.0,100.0,6896.551724137931
7th Phase JP Nagar,1190.0,2.0,2.0,49.98,4200.0
7th Phase JP Nagar,1420.0,3.0,2.0,96.0,6760.56338028169
7th Phase JP Nagar,1680.0,3.0,3.0,120.0,7142.857142857143
7th Phase JP Nagar,980.0,2.0,2.0,69.0,7040.816326530612
7th Phase JP Nagar,1180.0,2.0,2.0,72.0,6101.6949152542375
7th Phase JP Nagar,1050.0,3.0,2.0,57.0,5428.571428571428
7th Phase JP Nagar,1343.0,3.0,2.0,56.41,4200.297840655249
7th Phase JP Nagar,1405.0,3.0,2.0,59.01,4200.0
7th Phase JP Nagar,1400.0,3.0,3.0,115.0,8214.285714285714
7th Phase JP Nagar,1270.0,2.0,2.0,83.0,6535.433070866142
7th Phase JP Nagar,3300.0,4.0,4.0,150.0,4545.454545454545
7th Phase JP Nagar,2503.0,4.0,4.0,188.0,7510.986815821015
7th Phase JP Nagar,2200.0,3.0,3.0,190.0,8636.363636363636
7th Phase JP Nagar,1250.0,3.0,3.0,65.0,5200.0
7th Phase JP Nagar,1385.0,3.0,2.0,58.17,4200.0
7th Phase JP Nagar,1575.0,3.0,2.0,110.0,6984.126984126984
7th Phase JP Nagar,1850.0,3.0,3.0,140.0,7567.5675675675675
7th Phase JP Nagar,1575.0,3.0,2.0,120.0,7619.047619047619
7th Phase JP Nagar,1850.0,3.0,3.0,150.0,8108.108108108108
7th Phase JP Nagar,1680.0,3.0,3.0,120.0,7142.857142857143
7th Phase JP Nagar,1175.0,2.0,2.0,82.5,7021.276595744681
7th Phase JP Nagar,3300.0,3.0,4.0,160.0,4848.484848484848
7th Phase JP Nagar,2200.0,3.0,4.0,105.0,4772.727272727273
7th Phase JP Nagar,1215.0,2.0,2.0,90.0,7407.407407407408
7th Phase JP Nagar,1050.0,2.0,2.0,75.0,7142.857142857143
7th Phase JP Nagar,1300.0,3.0,3.0,89.13,6856.153846153846
7th Phase JP Nagar,1130.0,2.0,2.0,73.0,6460.1769911504425
7th Phase JP Nagar,1450.0,3.0,3.0,100.0,6896.551724137931
7th Phase JP Nagar,1350.0,3.0,3.0,58.0,4296.2962962962965
7th Phase JP Nagar,1050.0,2.0,2.0,50.0,4761.9047619047615
7th Phase JP Nagar,1275.0,2.0,2.0,87.0,6823.529411764706
7th Phase JP Nagar,1460.0,3.0,3.0,70.0,4794.520547945205
7th Phase JP Nagar,1650.0,3.0,3.0,110.0,6666.666666666667
7th Phase JP Nagar,850.0,2.0,2.0,42.0,4941.176470588235
7th Phase JP Nagar,1680.0,3.0,3.0,117.0,6964.285714285715
7th Phase JP Nagar,1850.0,3.0,3.0,150.0,8108.108108108108
7th Phase JP Nagar,1236.0,2.0,2.0,61.33,4961.974110032363
7th Phase JP Nagar,1000.0,2.0,2.0,53.0,5300.0
7th Phase JP Nagar,1680.0,3.0,3.0,125.0,7440.476190476191
7th Phase JP Nagar,1675.0,3.0,2.0,135.0,8059.701492537313
7th Phase JP Nagar,1187.0,2.0,2.0,59.0,4970.513900589722
7th Phase JP Nagar,1850.0,3.0,3.0,155.0,8378.378378378378
7th Phase JP Nagar,1000.0,2.0,2.0,61.0,6100.0
7th Phase JP Nagar,1460.0,3.0,2.0,100.0,6849.315068493151
7th Phase JP Nagar,1650.0,3.0,3.0,110.0,6666.666666666667
7th Phase JP Nagar,1200.0,2.0,2.0,62.5,5208.333333333333
7th Phase JP Nagar,1000.0,2.0,2.0,70.65,7065.000000000001
7th Phase JP Nagar,1080.0,2.0,2.0,75.0,6944.444444444444
7th Phase JP Nagar,1415.0,3.0,3.0,65.0,4593.639575971732
7th Phase JP Nagar,1680.0,3.0,3.0,125.0,7440.476190476191
7th Phase JP Nagar,1460.0,3.0,2.0,97.0,6643.835616438356
7th Phase JP Nagar,1120.0,2.0,2.0,65.0,5803.571428571428
7th Phase JP Nagar,1100.0,2.0,3.0,60.0,5454.545454545455
7th Phase JP Nagar,1790.0,3.0,3.0,120.0,6703.91061452514
7th Phase JP Nagar,1680.0,3.0,3.0,117.0,6964.285714285715
7th Phase JP Nagar,1050.0,2.0,2.0,77.0,7333.333333333333
7th Phase JP Nagar,1050.0,2.0,2.0,75.0,7142.857142857143
7th Phase JP Nagar,1040.0,2.0,2.0,75.0,7211.538461538462
7th Phase JP Nagar,1400.0,3.0,2.0,95.0,6785.714285714285
7th Phase JP Nagar,1800.0,3.0,3.0,130.0,7222.222222222223
7th Phase JP Nagar,1050.0,2.0,2.0,68.0,6476.190476190476
7th Phase JP Nagar,1000.0,2.0,2.0,60.0,6000.0
7th Phase JP Nagar,1680.0,3.0,3.0,125.0,7440.476190476191
7th Phase JP Nagar,1050.0,2.0,2.0,77.47,7378.0952380952385
7th Phase JP Nagar,1270.0,2.0,2.0,80.0,6299.212598425197
