,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,SALES_PRICE
0,Karapakkam,1004.0,1.0,1.0,76.0
1,Anna Nagar,1986.0,2.0,1.0,217.18
2,Adyar,909.0,1.0,1.0,131.59
3,Velachery,1855.0,3.0,2.0,96.3
4,Karapakkam,1226.0,1.0,1.0,74.06
5,Chrompet,1220.0,2.0,1.0,123.95
6,Chrompet,1167.0,1.0,1.0,84.89
7,Velachery,1847.0,3.0,2.0,168.0
8,Chrompet,771.0,1.0,1.0,83.09
9,Velachery,1635.0,2.0,1.0,80.84
10,Chrompet,1203.0,2.0,1.0,149.38
11,Chrompet,1054.0,1.0,1.0,94.5
12,Chrompet,1196.0,1.0,1.0,87.74
13,Adyar,1056.0,1.0,1.0,93.86
14,Velachery,1865.0,3.0,2.0,155.0
15,Velachery,1868.0,3.0,2.0,157.14
16,Karapakkam,1639.0,2.0,2.0,86.56
17,Chrompet,796.0,1.0,1.0,109.13
18,Adyar,1136.0,1.0,1.0,82.88
19,Anna Nagar,1902.0,2.0,1.0,212.03
20,Chrompet,1069.0,1.0,1.0,109.06
21,Chrompet,931.0,1.0,1.0,91.86
22,KK Nagar,2010.0,3.0,2.0,109.25
23,Chrompet,1074.0,1.0,1.0,96.27
24,TNagar,1972.0,2.0,1.0,139.23
25,T Nagar,1685.0,1.0,1.0,126.01
26,Adyar,1130.0,1.0,1.0,133.83
27,Karapakkam,1301.0,1.0,1.0,79.4
28,Adyar,730.0,1.0,1.0,88.48
29,T Nagar,1806.0,2.0,1.0,113.38
30,Anna Nagar,1981.0,2.0,1.0,128.72
31,Adyar,868.0,1.0,1.0,90.42
32,T Nagar,1721.0,1.0,1.0,148.74
33,Velachery,1755.0,2.0,1.0,102.22
34,Anna Nagar,1709.0,1.0,1.0,129.29
35,KK Nagar,2114.0,3.0,2.0,175.65
36,Karapakkam,1226.0,1.0,1.0,49.71
37,Velachery,1648.0,2.0,1.0,91.71
38,Chrompet,856.0,1.0,1.0,103.83
39,Adyar,904.0,1.0,1.0,116.01
40,Chrompet,1198.0,1.0,1.0,82.49
41,Karapakkam,931.0,1.0,1.0,69.44
42,Karapakkam,1290.0,1.0,1.0,77.45
43,Karapakkam,507.0,1.0,1.0,57.28
44,KK Nagar,2492.0,4.0,2.0,187.26
45,Karapakkam,851.0,1.0,1.0,35.72
46,T Nagar,1882.0,2.0,1.0,160.52
47,Anna Nagar,1710.0,1.0,1.0,202.16
48,Karapakkam,1412.0,2.0,2.0,83.79
49,Adyar,779.0,1.0,1.0,52.91
50,T Nagar,1655.0,1.0,1.0,125.49
51,Karapakkam,940.0,1.0,1.0,58.58
52,KK Nagar,1667.0,2.0,1.0,107.3
53,KK Nagar,1926.0,3.0,2.0,170.07
54,Adyar,718.0,1.0,1.0,55.7
55,Karapakkam,545.0,1.0,1.0,38.54
56,Karapakkam,1249.0,1.0,1.0,85.95
57,T Nagar,1894.0,2.0,1.0,135.49
58,Karapakkam,1469.0,2.0,2.0,94.81
