AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,SALES_PRICE,price_per_sqft
Adyar,1056.0,1.0,1.0,93.86,8888.257575757576
Adyar,1130.0,1.0,1.0,133.83,11843.362831858409
Adyar,730.0,1.0,1.0,88.48,12120.547945205479
Adyar,868.0,1.0,1.0,90.42,10417.05069124424
Adyar,718.0,1.0,1.0,55.7,7757.660167130919
Adyar,1021.0,1.0,1.0,116.73,11432.908912830559
Adyar,890.0,1.0,1.0,71.87,8075.2808988764045
Adyar,1218.0,2.0,2.0,125.75,10324.302134646961
Adyar,1090.0,1.0,1.0,98.32,9020.183486238531
Adyar,1025.0,1.0,1.0,109.35,10668.292682926829
Adyar,1182.0,1.0,1.0,98.67,8347.715736040609
Adyar,1034.0,1.0,1.0,92.57,8952.611218568665
Adyar,622.0,1.0,1.0,65.73,10567.524115755627
Adyar,1236.0,2.0,2.0,120.35,9737.05501618123
Adyar,721.0,1.0,1.0,76.06,10549.237170596394
Adyar,931.0,1.0,1.0,99.36,10672.395273899034
Adyar,1243.0,2.0,2.0,133.6,10748.18986323411
Adyar,738.0,1.0,1.0,83.13,11264.227642276423
Adyar,929.0,1.0,1.0,94.8,10204.520990312163
Adyar,1015.0,1.0,1.0,112.25,11059.11330049261
Adyar,985.0,1.0,1.0,73.8,7492.38578680203
Adyar,1249.0,2.0,2.0,126.42,10121.697357886309
Adyar,1296.0,2.0,2.0,99.51,7678.240740740741
Adyar,1170.0,1.0,1.0,91.35,7807.692307692308
Adyar,901.0,1.0,1.0,76.43,8482.796892341843
Adyar,847.0,1.0,1.0,74.92,8845.336481700118
Adyar,1287.0,2.0,2.0,150.14,11665.889665889665
Adyar,863.0,1.0,1.0,66.37,7690.614136732329
Adyar,1289.0,2.0,2.0,146.34,11352.98681148177
Adyar,658.0,1.0,1.0,60.84,9246.200607902736
Adyar,1279.0,2.0,2.0,97.93,7656.763096168882
Adyar,1067.0,1.0,1.0,79.6,7460.168697282098
Adyar,1001.0,1.0,1.0,105.34,10523.476523476524
Adyar,693.0,1.0,1.0,68.8,9927.849927849928
Adyar,789.0,1.0,1.0,80.98,10263.624841571609
Adyar,1065.0,1.0,1.0,87.17,8184.976525821597
Adyar,1180.0,1.0,1.0,93.98,7964.406779661017
Adyar,1284.0,2.0,2.0,98.86,7699.376947040499
Adyar,952.0,1.0,1.0,105.52,11084.033613445377
Adyar,1100.0,1.0,1.0,102.53,9320.90909090909
Adyar,1300.0,2.0,2.0,109.89,8453.076923076924
Adyar,985.0,1.0,1.0,119.04,12085.27918781726
Adyar,1089.0,1.0,1.0,85.86,7884.297520661157
Adyar,812.0,1.0,1.0,62.86,7741.379310344828
Adyar,1268.0,2.0,2.0,107.7,8493.690851735017
Adyar,635.0,1.0,1.0,55.97,8814.173228346457
Adyar,927.0,1.0,1.0,108.9,11747.57281553398
Adyar,843.0,1.0,1.0,83.35,9887.307236061682
Adyar,1022.0,1.0,1.0,90.36,8841.487279843444
Adyar,923.0,1.0,1.0,89.85,9734.561213434454
Adyar,898.0,1.0,1.0,93.5,10412.026726057906
Adyar,918.0,1.0,1.0,98.77,10759.25925925926
Adyar,1276.0,2.0,2.0,128.58,10076.802507836992
Adyar,600.0,1.0,1.0,68.27,11378.333333333334
Adyar,605.0,1.0,1.0,57.22,9457.851239669422
Adyar,968.0,1.0,1.0,105.22,10869.834710743802
Adyar,1287.0,2.0,2.0,141.16,10968.142968142969
Adyar,1177.0,1.0,1.0,106.64,9060.322854715378
Adyar,1152.0,1.0,1.0,98.63,8561.631944444445
Adyar,998.0,1.0,1.0,78.57,7872.745490981963
Adyar,1041.0,1.0,1.0,106.47,10227.665706051874
Adyar,1197.0,1.0,1.0,99.06,8275.689223057645
Adyar,736.0,1.0,1.0,78.39,10650.815217391304
Adyar,811.0,1.0,1.0,88.24,10880.39457459926
Adyar,1087.0,1.0,1.0,82.57,7596.136154553817
Adyar,725.0,1.0,1.0,80.71,11132.413793103447
Adyar,1135.0,1.0,1.0,86.99,7664.31718061674
Adyar,831.0,1.0,1.0,77.14,9282.791817087846
Adyar,890.0,1.0,1.0,84.15,9455.056179775282
Adyar,1291.0,2.0,2.0,101.68,7876.065065840434
Adyar,1113.0,1.0,1.0,84.49,7591.194968553459
Adyar,1183.0,1.0,1.0,140.46,11873.203719357565
Adyar,713.0,1.0,1.0,76.76,10765.778401122021
Adyar,1242.0,2.0,2.0,93.78,7550.724637681159
Adyar,1217.0,2.0,2.0,141.79,11650.780608052588
Adyar,790.0,1.0,1.0,73.3,9278.481012658227
Adyar,604.0,1.0,1.0,63.23,10468.543046357616
Adyar,797.0,1.0,1.0,79.75,10006.273525721455
Adyar,858.0,1.0,1.0,95.63,11145.687645687645
Adyar,850.0,1.0,1.0,65.75,7735.294117647059
Adyar,613.0,1.0,1.0,61.93,10102.773246329527
Adyar,1118.0,1.0,1.0,83.51,7469.588550983901
Adyar,792.0,1.0,1.0,95.22,12022.727272727272
Adyar,1190.0,1.0,1.0,96.33,8094.957983193277
Adyar,925.0,1.0,1.0,74.88,8095.135135135135
Adyar,947.0,1.0,1.0,89.31,9430.834213305174
Adyar,852.0,1.0,1.0,83.56,9807.511737089202
Adyar,1152.0,1.0,1.0,100.09,8688.368055555555
Adyar,1241.0,2.0,2.0,105.69,8516.51893634166
Adyar,928.0,1.0,1.0,105.96,11418.103448275862
Adyar,960.0,1.0,1.0,84.28,8779.166666666666
Adyar,1195.0,1.0,1.0,96.41,8067.782426778243
Adyar,1080.0,1.0,1.0,105.46,9764.814814814816
Adyar,855.0,1.0,1.0,78.15,9140.350877192983
Adyar,919.0,1.0,1.0,88.03,9578.890097932535
Adyar,1167.0,1.0,1.0,104.75,8976.006855184232
Adyar,1051.0,1.0,1.0,80.91,7698.382492863939
Adyar,919.0,1.0,1.0,93.1,10130.57671381937
Adyar,1098.0,1.0,1.0,105.56,9613.84335154827
Adyar,1010.0,1.0,1.0,98.18,9720.79207920792
Adyar,994.0,1.0,1.0,103.82,10444.66800804829
Adyar,840.0,1.0,1.0,85.72,10204.761904761905
Adyar,809.0,1.0,1.0,90.44,11179.233621755253
Adyar,1023.0,1.0,1.0,121.15,11842.619745845552
Adyar,1019.0,1.0,1.0,89.64,8796.85966633955
Adyar,700.0,1.0,1.0,76.1,10871.42857142857
Adyar,603.0,1.0,1.0,61.85,10257.048092868989
Adyar,936.0,1.0,1.0,90.38,9655.982905982906
Adyar,1175.0,1.0,1.0,107.33,9134.468085106382
Adyar,824.0,1.0,1.0,78.81,9564.320388349515
Adyar,1128.0,1.0,1.0,96.63,8566.489361702128
Adyar,1240.0,2.0,2.0,106.37,8578.225806451614
Adyar,1294.0,2.0,2.0,103.83,8023.956723338485
Adyar,1270.0,2.0,2.0,145.7,11472.440944881888
Adyar,791.0,1.0,1.0,63.87,8074.589127686473
Adyar,953.0,1.0,1.0,82.34,8640.083945435466
Adyar,1277.0,2.0,2.0,136.06,10654.659357870009
Adyar,1033.0,1.0,1.0,80.24,7767.666989351403
Adyar,861.0,1.0,1.0,75.87,8811.84668989547
Adyar,655.0,1.0,1.0,79.25,12099.236641221374
Adyar,1122.0,1.0,1.0,85.99,7663.992869875223
Adyar,613.0,1.0,1.0,67.03,10934.747145187603
Adyar,617.0,1.0,1.0,49.18,7970.826580226904
Adyar,884.0,1.0,1.0,94.26,10662.89592760181
Adyar,1158.0,1.0,1.0,104.16,8994.81865284974
Adyar,1046.0,1.0,1.0,107.6,10286.806883365201
Adyar,994.0,1.0,1.0,108.35,10900.402414486922
Adyar,1110.0,1.0,1.0,85.61,7712.612612612613
Adyar,900.0,1.0,1.0,101.28,11253.333333333334
Adyar,1025.0,1.0,1.0,108.44,10579.512195121952
Adyar,695.0,1.0,1.0,61.49,8847.48201438849
Adyar,805.0,1.0,1.0,89.34,11098.136645962733
Adyar,1018.0,1.0,1.0,92.13,9050.098231827113
Adyar,1282.0,2.0,2.0,109.34,8528.861154446178
Adyar,909.0,1.0,1.0,83.11,9143.014301430143
Adyar,690.0,1.0,1.0,74.86,10849.27536231884
Adyar,746.0,1.0,1.0,63.91,8567.024128686327
Adyar,921.0,1.0,1.0,71.78,7793.702497285559
Adyar,607.0,1.0,1.0,53.83,8868.20428336079
Adyar,712.0,1.0,1.0,69.78,9800.561797752809
Adyar,929.0,1.0,1.0,94.95,10220.667384284177
Adyar,912.0,1.0,1.0,93.5,10252.192982456141
Adyar,1045.0,1.0,1.0,113.3,10842.105263157895
Adyar,1188.0,1.0,1.0,141.97,11950.3367003367
Adyar,624.0,1.0,1.0,53.78,8618.589743589744
Adyar,1073.0,1.0,1.0,95.37,8888.16402609506
Adyar,1235.0,2.0,2.0,131.58,10654.25101214575
Adyar,969.0,1.0,1.0,111.57,11513.931888544892
Adyar,958.0,1.0,1.0,112.22,11713.987473903966
Adyar,1109.0,1.0,1.0,99.77,8996.39314697926
Adyar,791.0,1.0,1.0,73.59,9303.413400758534
Adyar,742.0,1.0,1.0,60.38,8137.466307277628
Adyar,1033.0,1.0,1.0,80.57,7799.612778315584
Adyar,603.0,1.0,1.0,53.42,8859.038142620233
Adyar,729.0,1.0,1.0,68.54,9401.920438957477
Adyar,831.0,1.0,1.0,76.57,9214.199759326111
Adyar,1115.0,1.0,1.0,97.95,8784.7533632287
Adyar,897.0,1.0,1.0,98.5,10981.047937569676
Adyar,1285.0,2.0,2.0,119.55,9303.501945525291
Adyar,626.0,1.0,1.0,52.52,8389.776357827475
Adyar,635.0,1.0,1.0,60.01,9450.393700787401
Adyar,985.0,1.0,1.0,73.75,7487.309644670051
Adyar,1145.0,1.0,1.0,118.05,10310.04366812227
Adyar,1002.0,1.0,1.0,77.31,7715.568862275449
Adyar,840.0,1.0,1.0,65.78,7830.952380952381
Adyar,1272.0,2.0,2.0,98.9,7775.157232704402
Adyar,1085.0,1.0,1.0,89.2,8221.198156682027
Adyar,1209.0,2.0,2.0,106.72,8827.129859387924
Adyar,1063.0,1.0,1.0,105.26,9902.163687676388
Adyar,691.0,1.0,1.0,55.0,7959.479015918958
Adyar,1112.0,1.0,1.0,117.8,10593.525179856115
Adyar,791.0,1.0,1.0,68.18,8619.469026548673
Adyar,1159.0,1.0,1.0,104.44,9011.216566005176
Adyar,1288.0,2.0,2.0,98.27,7629.658385093167
Adyar,1130.0,1.0,1.0,99.44,8800.0
Adyar,633.0,1.0,1.0,56.2,8878.357030015797
